( 460,334 )
( 457,327 )
( 464,323 )
( 467,317 )
( 469,316 )
( 484,320 )
( 477,308 )
( 479,305 )
( 493,300 )
( 474,255 )
( 475,254 )
( 483,251 )
( 487,249 )
( 488,239 )
( 486,232 )
( 489,221 )
( 490,218 )
( 493,215 )
( 480,185 )
( 480,180 )
( 483,177 )
( 493,172 )
( 488,165 )
( 487,159 )
( 501,153 )
( 503,152 )
( 497,140 )
( 499,138 )
( 499,136 )
( 511,131 )
( 496,104 )
( 498,101 )
( 561,75 )
( 566,77 )
( 649,236 )
( 641,238 )
( 645,256 )
( 651,264 )
( 640,267 )
( 629,271 )
( 623,274 )
( 613,275 )
( 603,276 )
( 591,277 )
( 578,281 )
( 569,288 )
( 546,289 )
( 540,294 )
( 529,294 )
( 524,298 )
( 517,297 )
( 511,302 )
( 502,303 )
( 496,309 )
( 489,316 )
( 484,322 )
( 467,332 )
