( 224,137 )
( 259,136 )
( 258,148 )
( 265,153 )
( 265,166 )
( 272,167 )
( 277,173 )
( 278,180 )
( 292,182 )
( 281,198 )
( 297,193 )
( 306,193 )
( 304,220 )
( 319,201 )
( 332,200 )
( 334,212 )
( 343,216 )
( 350,217 )
( 364,225 )
( 361,228 )
( 353,231 )
( 357,248 )
( 356,256 )
( 359,261 )
( 314,273 )
( 317,288 )
( 320,293 )
( 302,296 )
( 306,316 )
( 326,313 )
( 319,331 )
( 330,337 )
( 320,357 )
( 333,366 )
( 333,381 )
( 357,377 )
( 367,393 )
( 350,401 )
( 361,430 )
( 358,435 )
( 363,447 )
( 374,460 )
( 370,473 )
( 352,473 )
( 332,464 )
( 284,465 )
( 275,469 )
( 271,473 )
( 261,474 )
( 242,491 )
( 225,475 )
( 222,471 )
( 223,446 )
( 222,447 )
( 227,448 )
( 227,418 )
( 222,415 )
( 223,398 )
( 230,382 )
( 231,346 )
( 228,322 )
( 229,301 )
( 221,288 )
( 235,272 )
( 237,252 )
( 248,244 )
( 255,241 )
( 267,220 )
( 270,210 )
( 266,191 )
( 259,180 )
( 256,168 )
( 249,167 )
( 244,158 )
( 237,150 )
( 227,142 )
( 223,142 )
