( 484,390 )
( 426,380 )
( 439,369 )
( 432,361 )
( 429,361 )
( 422,357 )
( 416,362 )
( 407,357 )
( 402,365 )
( 390,366 )
( 391,374 )
( 386,374 )
( 384,380 )
( 371,381 )
( 360,382 )
( 364,392 )
( 350,399 )
( 360,430 )
( 354,435 )
( 371,461 )
( 381,461 )
( 387,452 )
( 393,448 )
( 401,445 )
( 410,446 )
( 418,442 )
( 434,439 )
( 439,436 )
( 446,433 )
( 453,434 )
( 460,434 )
( 471,433 )
( 477,428 )
( 486,429 )
( 520,425 )
( 529,420 )
( 527,418 )
( 516,412 )
( 518,405 )
( 513,403 )
( 512,380 )
( 508,380 )
( 504,380 )
